Date	Open	High	Low	Close	Volume
2018-06-04	7.19	7.24	7.02	7.19	8832700
2018-06-05	7.26	7.46	6.96	7.11	17021200
2018-06-06	7.09	7.27	6.95	7.05	13232500
2018-06-07	7.01	7.02	6.1	6.66	30915400
2018-06-08	6.69	6.7	6.27	6.49	24759900
2018-06-11	6.59	6.67	6.28	6.37	13869700
2018-06-12	6.34	6.59	6.33	6.47	10987100
2018-06-13	6.43	6.53	6.35	6.43	11936800
2018-06-14	6.49	6.53	6.25	6.34	13318500
2018-06-15	6.3	6.32	6.03	6.16	17764400
2018-06-18	6.1	6.22	6.01	6.15	12333300
2018-06-19	5.9	6.32	5.88	6.29	12720600
2018-06-20	6.43	6.66	6.34	6.61	21474700
2018-06-21	6.55	6.64	6.18	6.25	14613300
2018-06-22	6.38	6.45	6.24	6.39	9851300
2018-06-25	6.42	6.47	6.11	6.22	12393500
2018-06-26	6.2	6.28	6.05	6.07	9695200
2018-06-27	6.07	6.25	5.94	6.02	11779000
2018-06-28	6.04	6.22	5.96	6.12	8177600
2018-06-29	6.22	6.31	6.12	6.18	8756000
2018-07-02	6.18	6.32	6.12	6.22	6163300
2018-07-03	6.32	6.55	6.27	6.47	10513200
2018-07-04	6.46	6.64	6.42	6.57	7526800
2018-07-05	6.65	6.89	6.65	6.84	13235100
2018-07-06	6.89	7.04	6.72	7.01	11860700
2018-07-09	7.01	7.01	7.01	7.01	0
2018-07-10	7.06	7.12	6.89	6.93	13032500
2018-07-11	6.83	6.93	6.75	6.78	7821100
2018-07-12	6.87	7.17	6.84	7.17	10892000
2018-07-13	7.2	7.28	7.11	7.15	7682400
2018-07-16	7.18	7.23	7.08	7.2	11120700
2018-07-17	7.17	7.65	7.17	7.62	20676300
2018-07-18	7.7	7.74	7.62	7.66	3140400
