Date	Open	High	Low	Close	Volume
2018-03-15	16.55	16.66	16.26	16.4	2516800
2018-03-16	16.35	16.55	16.12	16.55	2142500
2018-03-19	16.39	16.65	16.17	16.18	2152600
2018-03-20	16.4	16.43	15.89	15.98	1507100
2018-03-21	15.9	16.0	15.6	15.64	2177700
2018-03-22	15.6	16.12	15.6	15.92	2179400
2018-03-23	15.73	15.96	15.48	15.67	4259200
2018-03-26	15.8	16.24	15.8	16.0	1833700
2018-03-27	16.19	16.19	15.69	15.99	2584400
2018-03-28	15.97	16.19	15.63	15.88	1850700
2018-03-29	15.92	16.31	15.79	16.25	1765200
2018-04-02	16.25	16.25	15.69	16.04	2047100
2018-04-03	16.06	16.24	15.7	15.7	2039400
2018-04-04	15.63	15.8	15.27	15.62	1635900
2018-04-05	16.0	16.21	15.25	15.41	3150100
2018-04-06	15.5	15.79	15.3	15.72	2057400
2018-04-09	15.85	15.93	15.35	15.47	1357600
2018-04-10	15.72	15.84	15.25	15.34	1942800
2018-04-11	15.03	15.22	14.27	14.69	8949500
2018-04-12	14.7	15.15	14.69	15.15	2707500
2018-04-13	15.14	15.14	14.83	14.84	3455800
2018-04-16	14.8	14.97	14.59	14.7	1726400
2018-04-17	14.71	14.92	14.62	14.63	2271700
2018-04-18	14.82	14.82	14.57	14.6	2436600
2018-04-19	14.56	14.81	14.2	14.64	3527900
2018-04-20	14.55	14.99	14.47	14.94	2117900
2018-04-23	14.8	14.9	14.41	14.6	2252800
2018-04-24	14.71	14.87	14.58	14.7	1398900
2018-04-25	14.55	14.7	14.31	14.45	1644900
2018-04-26	14.38	14.69	14.38	14.67	1225300
2018-04-27	14.68	15.09	14.64	15.0	2167300
2018-04-30	15.12	15.3	14.85	15.0	1603100
2018-05-02	14.99	15.09	14.7	14.88	2237400
2018-05-03	14.99	14.99	14.41	14.41	2556100
2018-05-04	14.4	14.45	14.0	14.0	2076800
2018-05-07	14.16	14.74	14.14	14.57	2563200
2018-05-08	14.77	14.85	14.24	14.7	2324900
2018-05-09	14.7	14.96	14.46	14.9	1587900
2018-05-10	14.85	15.17	14.73	15.17	1802900
2018-05-11	15.18	15.42	14.79	14.97	3647200
2018-05-14	14.85	14.95	14.41	14.5	2269800
2018-05-15	14.33	14.35	14.03	14.07	2445500
2018-05-16	14.01	14.47	14.01	14.47	1597200
2018-05-17	14.34	14.48	13.91	13.91	1969000
2018-05-18	13.88	14.11	13.6	14.11	3314400
2018-05-21	14.12	14.36	14.04	14.05	1309400
2018-05-22	14.19	14.64	14.14	14.5	2431500
2018-05-23	14.27	14.64	14.18	14.44	2627400
2018-05-24	14.15	14.5	13.92	14.5	2501200
2018-05-25	14.46	14.7	14.33	14.45	2593000
2018-05-28	14.16	14.18	13.59	13.59	1496400
2018-05-29	13.32	13.79	13.26	13.45	4356100
2018-05-30	13.45	13.63	13.26	13.47	2088400
2018-06-01	13.5	13.66	13.12	13.56	2246800
2018-06-04	13.88	13.89	13.52	13.62	1166200
Date	Open	High	Low	Close	Volume
